filepath,emotion,intensity,actor,gender
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-01-01-01-01-01.wav,neutral,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-01-01-01-02-01.wav,neutral,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-01-01-02-01-01.wav,neutral,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-01-01-02-02-01.wav,neutral,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-02-01-01-01-01.wav,calm,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-02-01-01-02-01.wav,calm,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-02-01-02-01-01.wav,calm,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-02-01-02-02-01.wav,calm,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-02-02-01-01-01.wav,calm,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-02-02-01-02-01.wav,calm,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-02-02-02-01-01.wav,calm,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-02-02-02-02-01.wav,calm,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-03-01-01-01-01.wav,happy,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-03-01-01-02-01.wav,happy,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-03-01-02-01-01.wav,happy,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-03-01-02-02-01.wav,happy,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-03-02-01-01-01.wav,happy,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-03-02-01-02-01.wav,happy,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-03-02-02-01-01.wav,happy,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-03-02-02-02-01.wav,happy,strong,1,male
